WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 5900, "train_action_l1_loss": 0.05583979934453964, "total_loss": 0.0625196322798729, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.194083385867998}
{"step": 6000, "train_action_l1_loss": 0.049811623990535736, "total_loss": 0.05347694456577301, "val_action_l1_loss": 0.049962721019983294, "val_total_loss": 0.05620445180684328, "learning_rate": 0.0001, "time_per_step": 0.19558574398979545}
{"step": 6100, "train_action_l1_loss": 0.05596590414643288, "total_loss": 0.06153637170791626, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20428679301403463}
{"step": 6200, "train_action_l1_loss": 0.04725923389196396, "total_loss": 0.050385504961013794, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20246927300468087}
{"step": 6300, "train_action_l1_loss": 0.05145035684108734, "total_loss": 0.05626079440116882, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20348359108902514}
{"step": 6400, "train_action_l1_loss": 0.05972388759255409, "total_loss": 0.0638272613286972, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19695440214127302}
{"step": 6500, "train_action_l1_loss": 0.04792558774352074, "total_loss": 0.05363694205880165, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.191339140990749}
{"step": 6600, "train_action_l1_loss": 0.04473662003874779, "total_loss": 0.05017615109682083, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20266651292331517}
{"step": 6700, "train_action_l1_loss": 0.05137757211923599, "total_loss": 0.05623284727334976, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19606559397652745}
{"step": 6800, "train_action_l1_loss": 0.04718587547540665, "total_loss": 0.049431800842285156, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20093137701041996}
{"step": 6900, "train_action_l1_loss": 0.05713091045618057, "total_loss": 0.0631994903087616, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.205916607985273}
{"step": 7000, "train_action_l1_loss": 0.04575303569436073, "total_loss": 0.05010462552309036, "val_action_l1_loss": 0.049355526268482205, "val_total_loss": 0.05426347218453884, "learning_rate": 0.0001, "time_per_step": 0.20322531298734248}
{"step": 7100, "train_action_l1_loss": 0.050247762352228165, "total_loss": 0.05450128763914108, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1956515139900148}
{"step": 7200, "train_action_l1_loss": 0.05141020566225052, "total_loss": 0.05358409136533737, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.186583265196532}
{"step": 7300, "train_action_l1_loss": 0.04931594431400299, "total_loss": 0.054590173065662384, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20331878098659217}
{"step": 7400, "train_action_l1_loss": 0.0472659096121788, "total_loss": 0.0503462515771389, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20534255309030414}
{"step": 7500, "train_action_l1_loss": 0.05016603693366051, "total_loss": 0.056096401065588, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19581098691560328}
{"step": 7600, "train_action_l1_loss": 0.04706782102584839, "total_loss": 0.049584031105041504, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19933802192099392}
{"step": 7700, "train_action_l1_loss": 0.04787557199597359, "total_loss": 0.054125189781188965, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19762645894661546}
{"step": 7800, "train_action_l1_loss": 0.046855032444000244, "total_loss": 0.04889248311519623, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19918184890411794}
{"step": 7900, "train_action_l1_loss": 0.047636378556489944, "total_loss": 0.05507934093475342, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20077076507732272}
{"step": 8000, "train_action_l1_loss": 0.04804029315710068, "total_loss": 0.05169185250997543, "val_action_l1_loss": 0.048578289337456226, "val_total_loss": 0.0505257124081254, "learning_rate": 0.0001, "time_per_step": 0.19380247010849416}
{"step": 8100, "train_action_l1_loss": 0.055988069623708725, "total_loss": 0.05752280354499817, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19369393005035818}
{"step": 8200, "train_action_l1_loss": 0.046989381313323975, "total_loss": 0.048704661428928375, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.194978937972337}
{"step": 8300, "train_action_l1_loss": 0.051783010363578796, "total_loss": 0.053843770176172256, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19283511117100716}
{"step": 8400, "train_action_l1_loss": 0.0491991862654686, "total_loss": 0.05317874252796173, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2055102081503719}
